lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,c1_mu.1,c1_mu.2,c2_mu.1,c2_mu.2,z_mu.1,z_mu.2,c1_r.1,c1_r.2,c2_r.1,c2_r.2,z_r.1,z_r.2,A_mu.1.1.1,A_mu.2.1.1,A_mu.1.2.1,A_mu.2.2.1,A_mu.1.1.2,A_mu.2.1.2,A_mu.1.2.2,A_mu.2.2.2,A_r.1.1.1,A_r.2.1.1,A_r.1.2.1,A_r.2.2.1,A_r.1.1.2,A_r.2.1.2,A_r.1.2.2,A_r.2.2.2,MU.1.1.1,MU.2.1.1,MU.1.2.1,MU.2.2.1,MU.1.1.2,MU.2.1.2,MU.1.2.2,MU.2.2.2,R.1.1.1,R.2.1.1,R.1.2.1,R.2.2.1,R.1.1.2,R.2.1.2,R.1.2.2,R.2.2.2,mu_t.1,mu_t.2,mu_s.1,mu_s.2,r_t.1,r_t.2,r_s.1,r_s.2
# Adaptation terminated
# Step size = 0.187433
# Diagonal elements of inverse mass matrix:
# 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
2802.4,0.984356,0.187433,4,15,0,-2799.15,7.31159,7.36734,12.3407,6.1661,1.47963,1.30199,6.17881,13.3019,2.97985,15.2391,0.548606,-0.549348,2.704,2.71429,1.47963,1.30199,0,0,3.51293,2.48316,2.48572,3.64717,0.548606,-0.549348,0,0,1.72622,3.90373,73.1159,73.6734,82.0158,81.0682,82.0158,81.0682,104.34,95.3713,6.17881,13.3019,6.29297,11.9857,6.29297,11.9857,6.70722,12.3236,73.1159,73.6734,104.34,95.3713,6.17881,13.3019,6.70722,12.3236
2803.05,0.990751,0.187433,4,15,0,-2799.46,5.4085,12.5995,0.913058,3.04855,0.306449,0.0409299,2.91469,4.43058,3.97496,0.426969,-0.226108,0.199779,2.32562,3.54958,0.306449,0.0409299,0,0,0.955541,1.74601,1.70725,2.1049,-0.226108,0.199779,0,0,1.99373,0.653429,54.085,125.995,53.5632,119.989,53.5632,119.989,53.9595,117.317,2.91469,4.43058,2.64305,4.3362,2.64305,4.3362,2.79422,4.28652,54.085,125.995,53.9595,117.317,2.91469,4.43058,2.79422,4.28652
2803.16,0.998366,0.187433,4,31,0,-2799.89,9.76141,6.99086,0.958486,3.51064,1.11402,0.245782,1.82989,3.64685,3.89154,0.666145,0.964553,0.727152,3.12433,2.64402,1.11402,0.245782,0,0,0.979023,1.87367,1.35273,1.90967,0.964553,0.727152,0,0,1.9727,0.816177,97.6141,69.9086,103.611,68.3762,103.611,68.3762,110.936,70.3879,1.82989,3.64685,2.14859,3.89883,2.14859,3.89883,2.91196,4.23483,97.6141,69.9086,110.936,70.3879,1.82989,3.64685,2.91196,4.23483
2805.48,1,0.187433,4,15,0,-2796.43,5.28058,9.6099,6.70138,7.8768,2.23765,1.13137,9.44008,2.75816,10.0055,4.32237,0.271399,1.211,2.29795,3.09998,2.23765,1.13137,0,0,2.5887,2.80656,3.07247,1.66077,0.271399,1.211,0,0,3.16314,2.07903,52.8058,96.099,66.3565,102.258,66.3565,102.258,90.0858,116.689,9.44008,2.75816,9.21934,3.25261,9.21934,3.25261,10.0043,4.26794,52.8058,96.099,90.0858,116.689,9.44008,2.75816,10.0043,4.26794
2806.4,0.908766,0.187433,4,15,0,-2801.22,5.80071,5.75613,3.10118,3.55383,1.56897,1.16373,3.09348,2.21664,1.96414,3.68713,1.04321,0.862515,2.40847,2.39919,1.56897,1.16373,0,0,1.76102,1.88516,1.75883,1.48884,1.04321,0.862515,0,0,1.40148,1.92019,58.0071,57.5613,66.98,63.4366,66.98,63.4366,80.442,73.4654,3.09348,2.21664,3.51495,2.50897,3.51495,2.50897,4.19027,3.20857,58.0071,57.5613,80.442,73.4654,3.09348,2.21664,4.19027,3.20857
2800.33,0.918971,0.187433,4,15,0,-2796.43,5.11447,5.09289,1.19257,9.35051,0.794669,3.66821,4.63298,8.11586,6.56724,4.92497,0.464136,1.76421,2.26152,2.25674,0.794669,3.66821,0,0,1.09205,3.05786,2.15244,2.84884,0.464136,1.76421,0,0,2.56266,2.21923,51.1447,50.9289,54.2032,74.4934,54.2032,74.4934,58.6372,118.312,4.63298,8.11586,4.71115,9.28873,4.71115,9.28873,5.44736,11.1236,51.1447,50.9289,58.6372,118.312,4.63298,8.11586,5.44736,11.1236
2804.85,0.942931,0.187433,4,15,0,-2795.69,5.28275,10.4622,5.08549,1.81428,3.34221,0.354129,3.72795,4.20199,2.35693,3.23233,0.210908,-0.995665,2.29842,3.23453,3.34221,0.354129,0,0,2.2551,1.34695,1.93079,2.04988,0.210908,-0.995665,0,0,1.53523,1.79787,52.8275,104.622,74.4086,102.875,74.4086,102.875,109.891,102.972,3.72795,4.20199,3.66541,3.34094,3.66541,3.34094,3.83962,2.97957,52.8275,104.622,109.891,102.972,3.72795,4.20199,3.83962,2.97957
2804.51,0.922668,0.187433,5,47,0,-2796.29,8.28973,6.0588,4.11641,4.31663,-0.852928,1.9277,1.08901,5.30194,8.64234,6.42771,-0.452525,0.775341,2.87919,2.46146,-0.852928,1.9277,0,0,2.02889,2.07765,1.04355,2.30259,-0.452525,0.775341,0,0,2.93979,2.53529,82.8973,60.588,70.8776,72.4837,70.8776,72.4837,64.717,91.0317,1.08901,5.30194,0.883788,5.59442,0.883788,5.59442,1.58148,6.54581,82.8973,60.588,64.717,91.0317,1.08901,5.30194,1.58148,6.54581
2805.35,0.992326,0.187433,4,15,0,-2799.78,6.21645,9.59447,3.73082,1.35433,0.924668,0.914216,1.03993,2.96878,2.60788,4.59204,-0.0496672,1.04915,2.49328,3.09749,0.924668,0.914216,0,0,1.93153,1.16376,1.01977,1.72302,-0.0496672,1.04915,0,0,1.61489,2.1429,62.1645,95.9447,66.2649,99.976,66.2649,99.976,74.3666,105.531,1.03993,2.96878,0.970544,3.38808,0.970544,3.38808,1.16658,4.3258,62.1645,95.9447,74.3666,105.531,1.03993,2.96878,1.16658,4.3258
2804.44,0.893535,0.187433,4,15,0,-2797.54,4.18266,11.3308,5.15988,9.48611,3.32893,0.506631,3.95173,6.86617,4.70754,3.37691,-0.713752,-0.321269,2.04516,3.36612,3.32893,0.506631,0,0,2.27154,3.07995,1.98789,2.62034,-0.713752,-0.321269,0,0,2.16969,1.83764,41.8266,113.308,61.2096,112.886,61.2096,112.886,94.7347,121.952,3.95173,6.86617,3.30025,6.24761,3.30025,6.24761,3.22693,6.02247,41.8266,113.308,94.7347,121.952,3.95173,6.86617,3.22693,6.02247
